Timestamp,Container,TotalMemory(MB),OperationalMemory(MB),CPU(%),Status
17:36:27,streaming-importer,11,-226,0.00%,OK
17:36:35,streaming-importer,11,-226,0.00%,OK
17:36:40,streaming-importer,11,-226,0.00%,OK
17:36:47,streaming-importer,249.1,12.1,15.72%,OK
17:36:52,streaming-importer,11,-226,0.00%,OK
17:36:58,streaming-importer,11,-226,0.00%,OK
17:37:05,streaming-importer,11,-226,0.00%,OK
17:37:10,streaming-importer,11,-226,0.00%,OK
17:37:16,streaming-importer,11,-226,0.00%,OK
17:37:21,streaming-importer,11,-226,0.00%,OK
17:37:27,streaming-importer,11,-226,0.00%,OK
17:37:32,streaming-importer,11,-226,0.00%,OK
17:37:38,streaming-importer,11,-226,0.00%,OK
17:37:44,streaming-importer,11,-226,0.00%,OK
17:37:49,streaming-importer,11,-226,0.00%,OK
17:37:55,streaming-importer,11,-226,0.00%,OK
17:38:00,streaming-importer,11,-226,0.00%,OK
17:38:06,streaming-importer,11,-226,0.00%,OK
17:38:12,streaming-importer,11,-226,0.00%,OK
17:38:17,streaming-importer,11,-226,0.00%,OK
17:38:24,streaming-importer,247,10,62.22%,OK
17:38:29,streaming-importer,11,-226,0.00%,OK
17:38:35,streaming-importer,11,-226,0.00%,OK
17:38:40,streaming-importer,11,-226,0.00%,OK
